"wave","include_random_effects","length","sem_mean","sem_se"
1,FALSE,1,3.43469133474576,0.0903158664090526
1,FALSE,2,2.67265281937799,0.0592375785019804
1,FALSE,3,2.18068125865568,0.061415204110301
1,FALSE,4,1.84404067720388,0.0419217132073623
1,FALSE,5,1.61973056987178,0.042899068560093
1,FALSE,6,1.43902588526862,0.0428736044455846
1,FALSE,7,1.33459992931947,0.0493907296547882
1,FALSE,8,1.25997805265718,0.0552797930629493
1,FALSE,9,1.2330107367299,0.0649234695482609
1,FALSE,10,1.16064595819801,0.0562039637188267
1,FALSE,11,1.07327254465614,0.0456644226637612
1,FALSE,12,1.02327799473531,0.043550122297763
1,FALSE,13,0.96551207578589,0.0371177555510491
1,FALSE,14,0.946207475502533,0.0400451837148874
1,FALSE,15,0.884776510482282,0.0326051956483325
1,FALSE,16,0.858448246038251,0.0289950122360688
1,FALSE,17,0.835847661287936,0.0298782521373369
1,FALSE,18,0.822430022637805,0.0308751308154313
1,FALSE,19,0.805446052566574,0.0296498581466457
1,FALSE,20,0.777472942282446,0.0259097239705576
1,FALSE,21,0.760425351275536,0.0276198523754571
1,FALSE,22,0.741208402455706,0.0307825857514331
1,FALSE,23,0.710859961471915,0.0234322468594053
1,FALSE,24,0.688807571939773,0.0188909187813395
1,FALSE,25,0.672386123177336,0.0158734651005194
2,FALSE,1,3.49374292508786,0.107765699680392
2,FALSE,2,2.67897261278814,0.0708594176779354
2,FALSE,3,2.22230684144975,0.0733278225021872
2,FALSE,4,1.94512197585861,0.0685938362746153
2,FALSE,5,1.70147987063978,0.0612912085256516
2,FALSE,6,1.52137695048329,0.057838121414023
2,FALSE,7,1.352108597568,0.040418412939188
2,FALSE,8,1.26589058851724,0.0436547048691359
2,FALSE,9,1.17735915694678,0.0357196805273771
2,FALSE,10,1.09473920710846,0.0292590634836882
2,FALSE,11,1.06215535069822,0.0358547070921432
2,FALSE,12,0.984278920930195,0.0241991821685236
2,FALSE,13,0.970030951877401,0.0342417117479824
2,FALSE,14,0.947942167791695,0.0417017445835595
2,FALSE,15,0.879139216852442,0.0282621786957856
2,FALSE,16,0.861449973313035,0.038420486901394
2,FALSE,17,0.850263181760733,0.0458004715659768
2,FALSE,18,0.795415652091976,0.0321843652899332
2,FALSE,19,0.783463299058589,0.038264065720588
2,FALSE,20,0.748786193355751,0.0277061758663802
2,FALSE,21,0.739429463948419,0.0351643860804178
2,FALSE,22,0.74467916004165,0.0446729115215118
2,FALSE,23,0.711763047914047,0.0344664991135146
2,FALSE,24,0.689972549340137,0.0265126509157992
2,FALSE,25,0.684323361585971,0.0323870244943522
1,TRUE,1,3.43469034495939,0.0903159873004238
1,TRUE,2,2.4925084404,0.0666845190329
1,TRUE,3,2.13163185535134,0.0651661310522632
1,TRUE,4,1.86106828681799,0.0517752098931968
1,TRUE,5,1.67757719446336,0.0575795207152808
1,TRUE,6,1.53276999142991,0.059869357686909
1,TRUE,7,1.42632353401455,0.060002959274874
1,TRUE,8,1.30912058508012,0.0442919616501235
1,TRUE,9,1.3083302026933,0.0585131259274819
1,TRUE,10,1.26692777680367,0.0610219083891862
1,TRUE,11,1.18510101946727,0.0559040492664843
1,TRUE,12,1.13805879382569,0.0581601299732139
1,TRUE,13,1.06729381713615,0.0472733763149727
1,TRUE,14,1.03875110748169,0.0470991037258509
1,TRUE,15,0.976840728335698,0.0396268087229569
1,TRUE,16,0.950865320117913,0.0325978318266768
1,TRUE,17,0.916179423013317,0.0329376710754015
1,TRUE,18,0.900566196151674,0.033183751701541
1,TRUE,19,0.880276991918107,0.0303683330187458
1,TRUE,20,0.854638830499029,0.0299135279946219
1,TRUE,21,0.849140534465421,0.0338848788986847
1,TRUE,22,0.819267936294093,0.0314963220165535
1,TRUE,23,0.790861662104139,0.0273393212200014
1,TRUE,24,0.766257181621577,0.0239736326533593
1,TRUE,25,0.753392919918649,0.0238177470394948
2,TRUE,1,3.49374201434438,0.107765843929058
2,TRUE,2,2.45760100865561,0.0746891416121261
2,TRUE,3,2.1097551149062,0.0684168407614389
2,TRUE,4,1.88655816893491,0.0614929312219051
2,TRUE,5,1.67397813459561,0.0533987032744333
2,TRUE,6,1.54400191116983,0.0552003147147539
2,TRUE,7,1.42772003527573,0.0576691078485912
2,TRUE,8,1.41844511380635,0.0898064499951479
2,TRUE,9,1.31286156286344,0.0774994878289125
2,TRUE,10,1.21074592770378,0.0597517098239421
2,TRUE,11,1.17871883255656,0.0651909996271892
2,TRUE,12,1.08803769722665,0.0463263478284971
2,TRUE,13,1.07535735060607,0.0523069213753057
2,TRUE,14,1.06941158555527,0.0670613159043661
2,TRUE,15,0.981336703616447,0.0413852188330839
2,TRUE,16,0.952713839321071,0.046219440600258
2,TRUE,17,0.92751008918753,0.0439626260705321
2,TRUE,18,0.880293219956226,0.0392352359334634
2,TRUE,19,0.850474340822285,0.0364939532994301
2,TRUE,20,0.840436390088581,0.0394737905832752
2,TRUE,21,0.816851642121962,0.0346482520815893
2,TRUE,22,0.824456584400524,0.0363834002184938
2,TRUE,23,0.798864042031096,0.036237826042069
2,TRUE,24,0.770144032378847,0.0299562235570406
2,TRUE,25,0.756257319420738,0.0272345805796016
