"include_random_effects","simulated","length","pearson_cor_value","pearson_cor_df","pearson_cor_p","pearson_cor_95_conf_lower","pearson_cor_95_conf_upper"
FALSE,FALSE,1,0.154924291504949,50,0.272792250414825,-0.123184114625874,0.41047037879844
FALSE,TRUE,1,0.101701530801981,17748,4.99082688168733e-42,0.087120468645427,0.116239026562457
FALSE,FALSE,2,0.178908532872184,50,0.204429013308539,-0.0988164179295497,0.430776533791877
FALSE,TRUE,2,0.150678294714342,17748,1.23101860513662e-90,0.136268951310564,0.165023897314365
FALSE,FALSE,3,0.192810175783946,50,0.170854094834652,-0.0845383798524545,0.44243069457541
FALSE,TRUE,3,0.183639765422611,17748,2.00641424235574e-134,0.169385969081802,0.197816753163455
FALSE,FALSE,4,0.153901555776316,50,0.27600950687721,-0.124215799609827,0.409598812943714
FALSE,TRUE,4,0.227927188462904,17748,6.55086971744634e-208,0.21393312464479,0.241827718077603
FALSE,FALSE,5,0.0883734427336104,50,0.533284943951935,-0.189087116538391,0.352766052887988
FALSE,TRUE,5,0.264737536899935,17748,2.0684990013935e-282,0.251003702118129,0.278364809408725
FALSE,FALSE,6,0.21290636906461,50,0.129670578345792,-0.0636947560904566,0.45913020539459
FALSE,TRUE,6,0.295511168050776,17748,0,0.282025833714394,0.308879758018328
FALSE,FALSE,7,0.325464319727415,50,0.0185524712978518,0.0576877912391301,0.549553658077608
FALSE,TRUE,7,0.329644047049562,17748,0,0.316467355084218,0.342693554313126
FALSE,FALSE,8,0.387122645392763,50,0.00457992082358817,0.127714879213781,0.596956917287328
FALSE,TRUE,8,0.358868180416175,17748,0,0.345983375239876,0.371617650545038
FALSE,FALSE,9,0.398774760669308,50,0.00340896137551667,0.141245601853623,0.605753495295025
FALSE,TRUE,9,0.386903633553993,17748,0,0.374322831404529,0.399342028988621
FALSE,FALSE,10,0.384649645537315,50,0.00486962621624662,0.124855538994774,0.595083452654275
FALSE,TRUE,10,0.417070480002463,17748,0,0.404843063964774,0.42914876368971
FALSE,FALSE,11,0.396738607276148,50,0.00359218544617733,0.138874212397966,0.604219973609291
FALSE,TRUE,11,0.444188474834965,17748,0,0.43230200271717,0.455920607905494
FALSE,FALSE,12,0.393874545138141,50,0.00386459162098809,0.135543603585274,0.602060310792135
FALSE,TRUE,12,0.465561795295429,17748,0,0.45395958693198,0.477006156089106
FALSE,FALSE,13,0.413384727724674,50,0.00231900595446921,0.15834810605226,0.616712021685177
FALSE,TRUE,13,0.488500851642899,17748,0,0.477218993702335,0.499621711643607
FALSE,FALSE,14,0.461061449350361,50,0.000581897849540868,0.215243945342308,0.651933062083835
FALSE,TRUE,14,0.508799289951582,17748,0,0.497814096022854,0.519621253930332
FALSE,FALSE,15,0.509189774827682,50,0.000115750579374202,0.274422699900092,0.686671552353538
FALSE,TRUE,15,0.528654017948962,17748,0,0.517970996219254,0.539172153072513
FALSE,FALSE,16,0.500225035009331,50,0.000159271934384153,0.26326318780504,0.680261752806193
FALSE,TRUE,16,0.546185343955908,17748,0,0.535779002505058,0.556425785281633
FALSE,FALSE,17,0.521142924837518,50,7.4574667245387e-05,0.289401275958819,0.695175355597703
FALSE,TRUE,17,0.562360764392451,17748,0,0.552217919771417,0.572337160134588
FALSE,FALSE,18,0.566248939839991,50,1.21221818541695e-05,0.346964946449956,0.726832226282064
FALSE,TRUE,18,0.577753793224013,17748,0,0.567869027819407,0.587471942234259
FALSE,FALSE,19,0.575921441722245,50,7.9241010159595e-06,0.359527799957798,0.733533005165696
FALSE,TRUE,19,0.592363026734603,17748,0,0.582729813354849,0.60182979343305
FALSE,FALSE,20,0.605046770095892,50,2.02242472703945e-06,0.397836143481169,0.753526680054621
FALSE,TRUE,20,0.606165955481246,17748,0,0.596776332141543,0.615389594023995
FALSE,FALSE,21,0.626628137281936,50,6.71298365165318e-07,0.426695794095627,0.768166579585131
FALSE,TRUE,21,0.619141430920075,17748,0,0.609986044656139,0.628131539972585
FALSE,FALSE,22,0.609598336725026,50,1.61364618798737e-06,0.403888787193749,0.756626575771558
FALSE,TRUE,22,0.63237176763747,17748,0,0.623460460737204,0.641118797617246
FALSE,FALSE,23,0.612477050023937,50,1.39633970600224e-06,0.407726201565563,0.75858374969617
FALSE,TRUE,23,0.642943058376924,17748,0,0.634230581414262,0.651492264013126
FALSE,FALSE,24,0.64914968883124,50,1.93494459104044e-07,0.45725322194529,0.78328805564964
FALSE,TRUE,24,0.653867922545012,17748,0,0.645364479733014,0.662209329379363
FALSE,FALSE,25,0.667292389688386,50,6.5760418430454e-08,0.482203383394774,0.795355116935712
FALSE,TRUE,25,0.665561335392014,17748,0,0.657285636590262,0.673676545148122
TRUE,FALSE,1,0.154924291504949,50,0.272792250414825,-0.123184114625874,0.41047037879844
TRUE,TRUE,1,0.0850471714039863,17748,7.37140365870658e-30,0.0704238737653866,0.099633922488196
TRUE,FALSE,2,0.223822268738275,50,0.110694258280128,-0.0522708122301789,0.468128737160495
TRUE,TRUE,2,0.152474558524122,17748,8.6529079734975e-93,0.138072862486784,0.16681178982352
TRUE,FALSE,3,0.148571111125913,50,0.293182640171513,-0.129583170629312,0.405048688768424
TRUE,TRUE,3,0.204562031804497,17748,5.30258472461728e-167,0.190423682598827,0.218615540551105
TRUE,FALSE,4,0.086731217473725,50,0.540949377347521,-0.190682357520137,0.351316240185093
TRUE,TRUE,4,0.250805898872083,17748,9.80098091336879e-253,0.236968835305578,0.264541228352007
TRUE,FALSE,5,0.0632881258453414,50,0.655792006376247,-0.213296104447497,0.330480598535772
TRUE,TRUE,5,0.288088819663093,17748,0,0.274540967718189,0.301522319443306
TRUE,FALSE,6,0.145673200839216,50,0.302804406726126,-0.132494332367497,0.402569659430407
TRUE,TRUE,6,0.326763542150895,17748,0,0.313559460783449,0.339841282798305
