"length","sem_mean","sem_sd","sem_se","sem_mean_95_CI_min","sem_mean_95_CI_max"
1,2.68763706503504,0.430446740699492,0.0529843310998947,2.58378777607924,2.79148635399083
2,1.98692974871577,0.244980973631694,0.0301550733058938,1.92782580503622,2.04603369239532
3,1.71355901363527,0.271657809876765,0.0334387648539111,1.64801903452161,1.77909899274894
4,1.52838416453861,0.251375047737078,0.0309421294209578,1.46773759087353,1.58903073820369
5,1.3613162215955,0.238296622981954,0.0293322866181887,1.30382493982385,1.41880750336715
6,1.22181863687848,0.195858521494545,0.0241085174317712,1.17456594271221,1.26907133104475
7,1.1002473409649,0.184688397409195,0.0227335702036814,1.05568954336568,1.14480513856411
8,1.03389758876396,0.193891510205972,0.0238663950794876,0.987119454408167,1.08067572311976
9,0.9973346847518,0.224541588457056,0.0276391589100468,0.943161933288109,1.05150743621549
10,0.919965154505508,0.236198652567799,0.0290740443118797,0.862980027654224,0.976950281356792
11,0.875829473520959,0.172859557263438,0.0212775406335839,0.834125493879134,0.917533453162783
12,0.839585450483512,0.165252466601914,0.0203411725020419,0.79971675237951,0.879454148587514
13,0.800235585184796,0.224525314093578,0.0276371556743815,0.746066760063008,0.854404410306584
14,0.765121870649299,0.154259999030158,0.0189880932790926,0.727905207822278,0.802338533476321
15,0.750936237187278,0.204641429095643,0.0251896186235241,0.701564584685171,0.800307889689386
16,0.718068406296518,0.134770847523846,0.0165891445622585,0.685553682954491,0.750583129638545
17,0.691265108338318,0.104740757626182,0.0128926960225117,0.665995424134196,0.716534792542441
18,0.671237791836571,0.127491576304278,0.015693128214599,0.640479260535957,0.701996323137185
19,0.648816680229122,0.103160756151923,0.0126982112852956,0.623928186109943,0.673705174348301
20,0.635654428364614,0.0872325983780834,0.0107375905963596,0.614608750795749,0.656700105933479
21,0.61715889675714,0.0928272726551435,0.0114262473946667,0.594763451863594,0.639554341650687
22,0.601851099308539,0.0861294399609412,0.0106018011820072,0.581071568991805,0.622630629625273
23,0.583361379746645,0.0712996824263238,0.00877638421620913,0.566159666682875,0.600563092810415
24,0.570322633502115,0.0666881322059802,0.00820874162386096,0.554233499919348,0.586411767084883
25,0.561335197784045,0.0741042066401375,0.00912159728317509,0.543456867109021,0.579213528459068
26,0.551637148793836,0.0771241428468283,0.00949332573351913,0.533030230356138,0.570244067231533
27,0.537908881600717,0.0675806233744803,0.00831859969247753,0.521604426203461,0.554213336997973
28,0.530268430405601,0.0726306475469344,0.00894021469734657,0.512745609598802,0.5477912512124
29,0.52840992614575,0.0835524812894344,0.0102845994969393,0.508252111131749,0.548567741159751
30,0.521388343313883,0.0835062146576939,0.0102789044682557,0.501241690556101,0.541534996071664
